target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,16,4,coinfection,1,1,N+P,2,3,24coinfectionN+P3shoot,0.1276,0.0199,826.153,2,47.9,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,36.88676326,14405.08219,14405.08219,0,1,9.575336353,300.7324049,5.706220849,14405
PAV,16,4,PAV,0,0,low,1,1,14PAVlow1shoot,0.2673,0.016,1320.048,2,52.1,2800,49.67861051,-3.385405223,NA,NA,NA,16,37.26877213,4631.138072,4631.138072,0,0,8.440557921,88.88940636,4.487392972,4631
PAV,16,4,PAV,0,0,low,1,2,14PAVlow2shoot,0.1659,0.0128,1033.327,2,52.8,2800,48.97662263,-3.35880909,NA,NA,NA,13,37.09537888,3446.182044,3446.182044,0,0,8.145022243,65.26859931,4.178511053,3446
PAV,16,4,PAV,0,0,low,2,3,24PAVlow3shoot,0.1641,0.0217,881.772,3,47.6,2800,48.97662263,-3.35880909,NA,NA,NA,13,35.97555796,7425.683229,7425.683229,0,0,8.912699977,156.0017485,5.049867216,7426
PAV,16,4,PAV,0,1,P,1,2,14PAVP2shoot,0.2613,0.0135,1316.942,3,46.4,2800,48.97662263,-3.35880909,NA,NA,NA,13,36.77183151,4301.95851,4301.95851,0,0,8.366825666,92.71462307,4.529526206,4302
PAV,16,4,PAV,0,1,P,2,3,24PAVP3shoot,0.1953,0.0275,1125.444,2,52.6,2800,49.19482931,-3.050822322,2800,50.71861646,-3.56860197,12,35.13006083,40752.71416,40752.71416,0,0,10.61527772,774.7664289,6.652561602,40753
PAV,16,4,PAV,0,1,P,4,5,44PAVP5shoot,0.3841,0.0171,1741.51,3,53.3,2800,48.97662263,-3.35880909,NA,NA,NA,13,35.51055399,10213.61603,10213.61603,0,0,9.231477014,191.6250662,5.255540683,10214
PAV,16,4,PAV,0,1,P,5,6,54PAVP6shoot,0.2093,0.0174,NA,NA,54.1,2800,53.47020321,-3.462972132,NA,NA,NA,36,36.44876989,82274.86813,82274.86813,0,0,11.31782097,1520.792387,7.326986785,82275
PAV,16,4,PAV,1,0,N,1,1,14PAVN1shoot,0.3526,0.019,1686.697,3,51.2,2800,49.60374996,-3.348891958,NA,NA,NA,15,36.84247589,6465.407907,6465.407907,0,0,8.774221384,126.2774982,4.838481852,6465
PAV,16,4,PAV,1,0,N,2,3,24PAVN3shoot,0.0378,0.0046,100.158,1,29.6,2800,50.34818138,-3.357441966,NA,NA,NA,14,37.60316086,6252.459371,6252.459371,0,0,8.740730165,211.2317355,5.352955803,6252
