dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
8,2,coinfection,N+P,2,3,78.3,960.1226219988213,75177.6013025077,P,4/12/16,4/22/16,4/30/16,4/30/16,0,1,NA,NA,NA,shoot,2.2.coinfection.N+P.3.P,1,1,0,1,1,1,1,-0.5006968474330313,-0.5203901994461149
8,2,coinfection,N+P,3,4,115.3,3783.9838179158514,436293.33420569764,low,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.2.coinfection.N+P.4.low,1,1,0,0,1,1,1,-0.38042888193999125,-0.3695514744511719
8,2,coinfection,N+P,3,4,115.3,3783.9838179158514,436293.33420569764,N,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.2.coinfection.N+P.4.N,1,1,1,0,1,1,1,-0.38042888193999125,-0.3695514744511719
8,2,coinfection,N+P,3,4,115.3,3783.9838179158514,436293.33420569764,N+P,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.2.coinfection.N+P.4.N+P,1,1,1,1,1,1,1,-0.38042888193999125,-0.3695514744511719
8,2,coinfection,N+P,3,4,115.3,3783.9838179158514,436293.33420569764,P,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.2.coinfection.N+P.4.P,1,1,0,1,1,1,1,-0.38042888193999125,-0.3695514744511719
8,2,RPV,low,2,3,93.89999999999999,2922.2727566477042,274401.4118492194,N,1,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,2.2.RPV.low.3.N,0,0,1,0,0,1,1,-0.41712906972946695,-0.43717403677741107
8,2,RPV,low,2,3,93.89999999999999,2922.2727566477042,274401.4118492194,N+P,1,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,2.2.RPV.low.3.N+P,0,0,1,1,0,1,1,-0.41712906972946695,-0.43717403677741107
8,2,RPV,low,2,3,93.89999999999999,2922.2727566477042,274401.4118492194,P,1,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,2.2.RPV.low.3.P,0,0,0,1,0,1,1,-0.41712906972946695,-0.43717403677741107
8,2,RPV,low,3,4,120.6,1039.4116340401133,125353.04306523765,low,12/9/16,12/16/16,12/30/16,12/30/16,0,1,NA,NA,PAV and RPV ctrls didn't show up,shoot,3.2.RPV.low.4.low,0,0,0,0,0,1,1,-0.49731993635186805,-0.49943182247178025
8,2,RPV,low,3,4,120.6,1039.4116340401133,125353.04306523765,N,12/9/16,12/16/16,12/30/16,12/30/16,0,1,NA,NA,PAV and RPV ctrls didn't show up,shoot,3.2.RPV.low.4.N,0,0,1,0,0,1,1,-0.49731993635186805,-0.49943182247178025
8,2,RPV,low,3,4,120.6,1039.4116340401133,125353.04306523765,N+P,12/9/16,12/16/16,12/30/16,12/30/16,0,1,NA,NA,PAV and RPV ctrls didn't show up,shoot,3.2.RPV.low.4.N+P,0,0,1,1,0,1,1,-0.49731993635186805,-0.49943182247178025
8,2,RPV,low,3,4,120.6,1039.4116340401133,125353.04306523765,P,12/9/16,12/16/16,12/30/16,12/30/16,0,1,NA,NA,PAV and RPV ctrls didn't show up,shoot,3.2.RPV.low.4.P,0,0,0,1,0,1,1,-0.49731993635186805,-0.49943182247178025
8,2,RPV,low,4,5,87.3,687.3814913812705,60008.40419758491,low,3/28/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,4.2.RPV.low.5.low,0,0,0,0,0,1,1,-0.512312864867979,-0.5267264017824361
8,2,RPV,low,4,5,87.3,687.3814913812705,60008.40419758491,N,3/28/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,4.2.RPV.low.5.N,0,0,1,0,0,1,1,-0.512312864867979,-0.5267264017824361
8,2,RPV,low,4,5,87.3,687.3814913812705,60008.40419758491,P,3/28/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,4.2.RPV.low.5.P,0,0,0,1,0,1,1,-0.512312864867979,-0.5267264017824361
8,2,RPV,P,2,3,87.8,181.09687692321563,15900.305793858332,low,3/31/16,4/1/16,4/1/16,4/4/16,0,0.5,NA,NA,NA,shoot,2.2.RPV.P.3.low,0,1,0,0,0,1,0,-0.5338754758877197,-0.5451504379541119
8,2,RPV,P,2,3,87.8,181.09687692321563,15900.305793858332,N,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.2.RPV.P.3.N,0,1,1,0,0,1,1,-0.5338754758877197,-0.5451504379541119
8,2,RPV,P,2,3,87.8,181.09687692321563,15900.305793858332,N+P,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.2.RPV.P.3.N+P,0,1,1,1,0,1,1,-0.5338754758877197,-0.5451504379541119
8,2,RPV,P,2,3,87.8,181.09687692321563,15900.305793858332,P,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.2.RPV.P.3.P,0,1,0,1,0,1,1,-0.5338754758877197,-0.5451504379541119
8,2,RPV,P,3,4,57.7,8285.664388822704,478082.8352350701,N,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.2.RPV.P.4.N,0,1,1,0,0,1,1,-0.18870275731838218,-0.35209592079038676
8,2,RPV,P,3,4,57.7,8285.664388822704,478082.8352350701,low,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.2.RPV.P.4.low,0,1,0,0,0,1,1,-0.18870275731838218,-0.35209592079038676
8,2,RPV,P,3,4,57.7,8285.664388822704,478082.8352350701,N+P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.2.RPV.P.4.N+P,0,1,1,1,0,1,1,-0.18870275731838218,-0.35209592079038676
8,2,RPV,P,3,4,57.7,8285.664388822704,478082.8352350701,P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.2.RPV.P.4.P,0,1,0,1,0,1,1,-0.18870275731838218,-0.35209592079038676
8,2,RPV,P,4,5,109.5,3866.292852151608,423359.06731060107,low,4,3/24/15,4/21/15,4/21/15,0,1,NA,NA,NA,shoot,4.2.RPV.P.5.low,0,1,0,0,0,1,1,-0.3769233484160544,-0.37495414220955425
8,2,RPV,P,4,5,109.5,3866.292852151608,423359.06731060107,N,4,3/24/15,4/21/15,4/21/15,0,1,NA,NA,NA,shoot,4.2.RPV.P.5.N,0,1,1,0,0,1,1,-0.3769233484160544,-0.37495414220955425
