dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.4567188690211756,-0.30481860494406154
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,-0.4567188690211756,-0.30481860494406154
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.P,1,1,0,1,1,1,1,-0.4567188690211756,-0.30481860494406154
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,N,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.low.4.N,0,0,1,0,0,0,0,-0.5176406305536941,-0.32368896924689505
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,N+P,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.low.4.N+P,0,0,1,1,0,1,1,-0.5176406305536941,-0.32368896924689505
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.low.4.P,0,0,0,1,0,0,0,-0.5176406305536941,-0.32368896924689505
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,low,2/11/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.3.PAV.low.5.low,0,0,0,0,0,1,1,-0.3153745925863296,-0.28030897981166103
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,N,2/11/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.PAV.low.5.N,0,0,1,0,0,0,0,-0.3153745925863296,-0.28030897981166103
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,N+P,2/11/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.3.PAV.low.5.N+P,0,0,1,1,0,1,1,-0.3153745925863296,-0.28030897981166103
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,P,2/11/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.PAV.low.5.P,0,0,0,1,0,0,0,-0.3153745925863296,-0.28030897981166103
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,low,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.P.4.low,0,1,0,0,0,1,1,-0.46384726631927287,-0.34056377519068876
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,N,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.P.4.N,0,1,1,0,0,1,1,-0.46384726631927287,-0.34056377519068876
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.P.4.N+P,0,1,1,1,0,0,0,-0.46384726631927287,-0.34056377519068876
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.P.4.P,0,1,0,1,0,0,0,-0.46384726631927287,-0.34056377519068876
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,low,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.N.4.low,1,0,0,0,0,1,1,-0.5211998666744878,-0.3396868729147203
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,N,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.N.4.N,1,0,1,0,0,1,1,-0.5211998666744878,-0.3396868729147203
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0.5,0,NA,NA,NA,shoot,3.3.PAV.N.4.N+P,1,0,1,1,0,1,0,-0.5211998666744878,-0.3396868729147203
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.N.4.P,1,0,0,1,0,0,0,-0.5211998666744878,-0.3396868729147203
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,N+P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.N+P,1,1,1,1,0,1,1,-0.391287407184921,-0.17419650106385628
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.P,1,1,0,1,0,1,1,-0.391287407184921,-0.17419650106385628
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.low,0,0,0,0,1,1,1,0.030771608909400294,-0.06397034039584285
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N,0,0,1,0,1,1,1,0.030771608909400294,-0.06397034039584285
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N+P,0,0,1,1,1,1,1,0.030771608909400294,-0.06397034039584285
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.P,0,0,0,1,1,1,1,0.030771608909400294,-0.06397034039584285
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,low,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.4.coinfection.low.5.low,0,0,0,0,1,0,0,0.6495365637955276,0.2598332927752274
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,N,2/9/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.4.coinfection.low.5.N,0,0,1,0,1,1,1,0.6495365637955276,0.2598332927752274
