target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero
PAV,5,1,RPV,1,1,N+P,4,5,41RPVN+P5shoot,0.1301,0.0107,589.12,2,49.6,2800,56.11142245,-3.70568327,2800,53.03886485,-3.73610792,5,NaN,NaN,0,1
PAV,8,2,coinfection,0,0,low,1,2,12coinfectionlow2shoot,0.0778,0.0791,991.742,2,49.4,1000,53.6146004,-3.266960568,1000,48.15826064,-3.23575189,1,NaN,NaN,0,1
PAV,8,2,coinfection,0,0,low,2,3,22coinfectionlow3shoot,0.1629,0.0279,827.857,2,51.7,2800,52.95171603,-3.559470876,2800,50.16044781,-3.380785624,23,43.8682251,356.3868642,0,1
PAV,8,2,coinfection,0,0,low,3,4,32coinfectionlow4shoot,0.1955,0.018,1023.615,2,47.2,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,41.02581787,848.040851,0,1
PAV,8,2,coinfection,0,0,low,4,5,42coinfectionlow5shoot,0.3019,0.0174,1515.234,2,46.3,2800,52.3960417,-3.474388187,2800,49.87804498,-3.345626683,25,NaN,NaN,0,1
PAV,8,2,coinfection,0,0,low,5,6,52coinfectionlow6shoot,0.1961,0.0126,NA,NA,50.8,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,44.04315948,414.8726735,0,1
PAV,8,2,coinfection,0,1,P,1,1,12coinfectionP1shoot,0.1392,0.0409,865.919,2,46.8,2800,50.86659032,-3.253289286,2800,49.73738099,-3.558046976,21,41.50041962,756.8065656,0,1
PAV,8,2,coinfection,0,1,P,1,2,12coinfectionP2shoot,0.0504,0.0096,280.923,1,30.3,2800,51.38179052,-3.467281215,2800,49.96806577,-3.525420062,31,37.67944972,8951.539667,8951.539667,0
PAV,8,2,coinfection,0,1,P,2,3,22coinfectionP3shoot,0.1011,0.0101,466.961,2,48.1,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,36.68560791,12238.30567,12238.30567,0
PAV,8,2,coinfection,0,1,P,3,4,32coinfectionP4shoot,0.1839,0.0166,867.683,2,48.1,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,40.39710045,1303.969183,0,1
PAV,8,2,coinfection,0,1,P,4,5,42coinfectionP5shoot,0.2698,0.018,1122.714,2,48.5,2800,51.34012947,-3.516751162,2800,53.49430969,-3.772950434,44,NaN,NaN,0,1
PAV,8,2,coinfection,0,1,P,5,6,52coinfectionP6shoot,0.1925,0.014,NA,NA,48.5,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,43.43665314,615.8991742,0,1
PAV,8,2,coinfection,1,0,N,1,1,12coinfectionN1shoot,0.1858,0.0373,1158.226,2,48.8,28000,52.66682698,-3.371971511,2800,49.88475912,-3.252348638,3,45.31032944,151.9359843,0,1
PAV,8,2,coinfection,1,0,N,2,3,22coinfectionN3shoot,0.206,0.0203,924.273,2,49.3,2800,50.37211046,-3.366426214,2800,49.47677724,-3.068125512,30,41.27508545,503.824912,0,1
PAV,8,2,coinfection,1,0,N,3,4,32coinfectionN4shoot,0.0914,0.0081,405.019,2,43.9,2800,52.95171603,-3.559470876,2800,50.16044781,-3.380785624,23,NaN,NaN,0,1
PAV,8,2,coinfection,1,0,N,4,5,42coinfectionN5shoot,0.1014,0.0033,419.192,2,50.8,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,40.83114624,512.8071571,0,1
PAV,8,2,coinfection,1,0,N,5,6,52coinfectionN6shoot,0.2522,0.0188,NA,NA,48.5,2800,53.29624884,-3.534526507,2800,51.22451032,-3.509619396,38,44.59892909,288.851511,0,1
PAV,8,2,coinfection,1,1,N+P,1,1,12coinfectionN+P1shoot,0.1832,0.0472,1054.471,2,48.1,2800,50.37211046,-3.366426214,2800,49.47677724,-3.068125512,30,NaN,NaN,0,1
