dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_p,conc_p_s
26,7,coinfection,low,4,5,115.7,11280.102198018496,1305107.82431074,P,2/8/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.7.coinfection.low.5.P,0,0,0,1,1,1,1,-0.45732055994803533,90.35282826295354,-0.5357256227770374
26,7,coinfection,P,4,5,153.10000000000002,877.7642769556354,134385.71080190782,low,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.low,0,1,0,0,1,0,0,-0.7329825445706928,234.41940167839542,-0.295343502604833
26,7,coinfection,P,4,5,153.10000000000002,877.7642769556354,134385.71080190782,N,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.N,0,1,1,0,1,0,0,-0.7329825445706928,234.41940167839542,-0.295343502604833
26,7,coinfection,P,4,5,153.10000000000002,877.7642769556354,134385.71080190782,N+P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.N+P,0,1,1,1,1,0,0,-0.7329825445706928,234.41940167839542,-0.295343502604833
26,7,coinfection,P,4,5,153.10000000000002,877.7642769556354,134385.71080190782,P,2/8/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.7.coinfection.P.5.P,0,1,0,1,1,0,0,-0.7329825445706928,234.41940167839542,-0.295343502604833
26,7,coinfection,N,4,5,92,13825.155419997986,1271914.2986398146,low,2/8/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.7.coinfection.N.5.low,1,0,0,0,1,1,1,-0.3898766422955821,760.3490693565368,0.5821958570172491
26,7,coinfection,N,4,5,92,13825.155419997986,1271914.2986398146,N,2/8/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.7.coinfection.N.5.N,1,0,1,0,1,1,1,-0.3898766422955821,760.3490693565368,0.5821958570172491
26,7,coinfection,N+P,2,3,82.10000000000001,78461.15079428775,6441660.480211025,low,3/8/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,2.7.coinfection.N+P.3.low,1,1,0,0,1,1,1,1.3229774197571438,61.37431448829756,-0.5840776895712115
26,7,coinfection,N+P,2,3,82.10000000000001,78461.15079428775,6441660.480211025,N,3/8/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,2.7.coinfection.N+P.3.N,1,1,1,0,1,1,1,1.3229774197571438,61.37431448829756,-0.5840776895712115
26,7,coinfection,N+P,2,3,82.10000000000001,78461.15079428775,6441660.480211025,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.7.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,1.3229774197571438,61.37431448829756,-0.5840776895712115
26,7,coinfection,N+P,2,3,82.10000000000001,78461.15079428775,6441660.480211025,P,3/8/16,3/11/16,3/13/16,3/13/16,0.5,1,NA,NA,NA,shoot,2.7.coinfection.N+P.3.P,1,1,0,1,1,1,1,1.3229774197571438,61.37431448829756,-0.5840776895712115
29,8,coinfection,low,3,4,133.8,39007.54802966335,5219209.926368956,P,3/3/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.8.coinfection.low.4.P,0,0,0,1,1,1,1,0.27745683379457114,1711.6969247747181,2.169566258666507
29,8,coinfection,low,3,4,133.8,39007.54802966335,5219209.926368956,low,3/3/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.8.coinfection.low.4.low,0,0,0,0,1,1,1,0.27745683379457114,1711.6969247747181,2.169566258666507
29,8,coinfection,low,3,4,133.8,39007.54802966335,5219209.926368956,N,3/3/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.8.coinfection.low.4.N,0,0,1,0,1,1,1,0.27745683379457114,1711.6969247747181,2.169566258666507
29,8,coinfection,low,3,4,133.8,39007.54802966335,5219209.926368956,N+P,3/3/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.8.coinfection.low.4.N+P,0,0,1,1,1,1,1,0.27745683379457114,1711.6969247747181,2.169566258666507
29,8,coinfection,P,3,4,137.6,54491.77839434231,7498068.707061502,low,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,3.8.coinfection.P.4.low,0,1,0,0,1,1,1,0.6877889826895855,590.5457075860395,0.29887064737923796
