target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass.g,root_mass.g,leaf_area.mm2,leaves,mass_ext.mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,present
PAV,8,2,PAV,1,0,N,5,6,52PAVN6shoot,0.2533,0.0167,NA,NA,49.6,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,43.2562294,890.1884457172627,0,1,0,0
PAV,8,2,PAV,1,1,N+P,1,1,12PAVN+P1shoot,0.0235,8e-4,111.448,0,22.8,2800,50.22608974830922,-3.560085041666667,NA,NA,NA,17,40.36859512,587.3446559905951,0,1,0,0
PAV,8,2,PAV,1,1,N+P,1,2,12PAVN+P2shoot,0.0902,0.0066,501.947,2,46.5,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,39.52522659,651.497636960232,0,1,0,0
PAV,8,2,PAV,1,1,N+P,2,3,22PAVN+P3shoot,0.2538,0.0208,1299.052,2,50.3,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,40.829193114999995,684.2120333495741,0,1,0,0
PAV,8,2,PAV,1,1,N+P,3,4,32PAVN+P4shoot,0.1662,0.0129,794.221,2,47.3,2800,50.22608974830922,-3.560085041666667,NA,NA,NA,17,37.20225525,4552.952163709384,4552.952163709384,0,0,1
PAV,8,2,PAV,1,1,N+P,4,5,42PAVN+P5shoot,0.3881,0.0241,1721.396,2,52.2,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,40.294937133333335,602.1012061666154,0,1,0,0
PAV,8,2,PAV,1,1,N+P,5,6,52PAVN+P6shoot,0.2487,0.0201,NA,NA,50.4,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,38.96182124,15473.022019587153,15473.022019587153,0,0,1
PAV,12,3,coinfection,0,0,low,1,2,13coinfectionlow2shoot,0.2257,0.0272,1268.303,2,47.9,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.62969462,5942.300839054379,5942.300839054379,0,1,1
PAV,12,3,coinfection,0,0,low,2,3,23coinfectionlow3shoot,0.1491,0.0118,932.578,2,49.8,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,39.821517945,1933.421507983963,0,1,1,0
PAV,12,3,coinfection,0,0,low,3,4,33coinfectionlow4shoot,0.2131,0.0176,954.625,2,49.2,2800,52.879494848272664,-3.458342488666665,28000,54.97219010593116,-3.370307922173914,20,42.55508423,966.8605530576184,0,1,1,0
