dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,conc_r,conc_r_s
19,5,coinfection,P,4,5,88.6,67.31125386971469,5963.7770928567215,N+P,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.N+P,0,1,1,1,1,1,1,-0.5741716159969932,165486.49089718887,3.6291491810736924
19,5,coinfection,P,4,5,88.6,67.31125386971469,5963.7770928567215,P,1/28/16,2/1/16,2/1/16,2/1/16,1,1,NA,NA,NA,shoot,4.5.coinfection.P.5.P,0,1,0,1,1,1,1,-0.5741716159969932,165486.49089718887,3.6291491810736924
19,5,coinfection,N+P,2,3,89.1,440.4345714921071,39242.72031994674,N,3/8/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.N,1,1,1,0,1,0,0,0.04840287890068195,24617.893147516344,-0.10386906168666883
19,5,coinfection,N+P,2,3,89.1,440.4345714921071,39242.72031994674,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,0.04840287890068195,24617.893147516344,-0.10386906168666883
19,5,coinfection,N+P,2,3,89.1,440.4345714921071,39242.72031994674,P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.5.coinfection.N+P.3.P,1,1,0,1,1,1,1,0.04840287890068195,24617.893147516344,-0.10386906168666883
19,5,coinfection,N+P,4,5,75.6,94.16209900257776,7118.654684594878,N,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.N,1,1,1,0,1,0,0,-0.529369668338805,7272.760332490187,-0.5635151308315898
19,5,coinfection,N+P,4,5,75.6,94.16209900257776,7118.654684594878,N+P,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.N+P,1,1,1,1,1,0,0,-0.529369668338805,7272.760332490187,-0.5635151308315898
19,5,coinfection,N+P,4,5,75.6,94.16209900257776,7118.654684594878,P,1/28/16,2/1/16,2/1/16,2/1/16,0,1,NA,NA,NA,shoot,4.5.coinfection.N+P.5.P,1,1,0,1,1,0,0,-0.529369668338805,7272.760332490187,-0.5635151308315898
22,6,coinfection,low,2,3,38,663.7946411944091,25224.196365387546,low,3/8/16,3/11/16,3/13/16,3/13/16,0,0,NA,NA,NA,shoot,2.6.coinfection.low.3.low,0,0,0,0,1,0,0,0.42109007374372753,7125.342252574002,-0.5674217103704715
22,6,coinfection,low,2,3,38,663.7946411944091,25224.196365387546,N+P,3/8/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,2.6.coinfection.low.3.N+P,0,0,1,1,1,1,1,0.42109007374372753,7125.342252574002,-0.5674217103704715
